=== Intra-network pings for net_1 ===
2025/06/28 12:05:27 [net_1] clab-nebula-serf13 (10.0.1.22) → [net_1] clab-nebula-serf14 (10.0.1.23): 6.311ms (test duration: 76ms)
=== Inter-network pings net_1 → net_2 ===
2025/06/28 12:05:27 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_2] clab-nebula-serf15 (10.0.2.10): 14.351ms (test duration: 75ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_2] clab-nebula-serf15 (10.0.2.10): 21.874ms (test duration: 73ms)
2025/06/28 12:05:27 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_2] clab-nebula-serf15 (10.0.2.10): 19.601ms (test duration: 73ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_2] clab-nebula-serf15 (10.0.2.10): 18.371ms (test duration: 65ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_2] clab-nebula-serf15 (10.0.2.10): 17.552ms (test duration: 67ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_2] clab-nebula-serf15 (10.0.2.10): 10.060ms (test duration: 65ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_2] clab-nebula-serf15 (10.0.2.10): 10.816ms (test duration: 63ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_2] clab-nebula-serf15 (10.0.2.10): 11.335ms (test duration: 71ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_2] clab-nebula-serf15 (10.0.2.10): 7.922ms (test duration: 65ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_2] clab-nebula-serf15 (10.0.2.10): 7.326ms (test duration: 68ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_2] clab-nebula-serf15 (10.0.2.10): 6.239ms (test duration: 63ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf12 (10.0.1.21) → [net_2] clab-nebula-serf15 (10.0.2.10): 7.119ms (test duration: 74ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf13 (10.0.1.22) → [net_2] clab-nebula-serf15 (10.0.2.10): 5.114ms (test duration: 72ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf14 (10.0.1.23) → [net_2] clab-nebula-serf15 (10.0.2.10): 6.354ms (test duration: 69ms)
=== Inter-network pings net_1 → net_3 ===
2025/06/28 12:05:28 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_3] clab-nebula-serf16 (10.0.3.10): 14.504ms (test duration: 66ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_3] clab-nebula-serf16 (10.0.3.10): 21.967ms (test duration: 75ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_3] clab-nebula-serf16 (10.0.3.10): 18.891ms (test duration: 65ms)
2025/06/28 12:05:28 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_3] clab-nebula-serf16 (10.0.3.10): 17.906ms (test duration: 65ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_3] clab-nebula-serf16 (10.0.3.10): 17.721ms (test duration: 74ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_3] clab-nebula-serf16 (10.0.3.10): 10.220ms (test duration: 74ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_3] clab-nebula-serf16 (10.0.3.10): 10.457ms (test duration: 67ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_3] clab-nebula-serf16 (10.0.3.10): 11.411ms (test duration: 68ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_3] clab-nebula-serf16 (10.0.3.10): 8.024ms (test duration: 67ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_3] clab-nebula-serf16 (10.0.3.10): 7.472ms (test duration: 69ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_3] clab-nebula-serf16 (10.0.3.10): 6.445ms (test duration: 73ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf12 (10.0.1.21) → [net_3] clab-nebula-serf16 (10.0.3.10): 6.896ms (test duration: 62ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf13 (10.0.1.22) → [net_3] clab-nebula-serf16 (10.0.3.10): 4.621ms (test duration: 71ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf14 (10.0.1.23) → [net_3] clab-nebula-serf16 (10.0.3.10): 5.739ms (test duration: 77ms)
=== Inter-network pings net_1 → net_4 ===
2025/06/28 12:05:29 [net_1] clab-nebula-serf1 (10.0.1.10) → [net_4] clab-nebula-serf17 (10.0.4.10): 15.144ms (test duration: 67ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf2 (10.0.1.11) → [net_4] clab-nebula-serf17 (10.0.4.10): 22.940ms (test duration: 62ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf3 (10.0.1.12) → [net_4] clab-nebula-serf17 (10.0.4.10): 19.882ms (test duration: 61ms)
2025/06/28 12:05:29 [net_1] clab-nebula-serf4 (10.0.1.13) → [net_4] clab-nebula-serf17 (10.0.4.10): 19.055ms (test duration: 71ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf5 (10.0.1.14) → [net_4] clab-nebula-serf17 (10.0.4.10): 18.857ms (test duration: 61ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf6 (10.0.1.15) → [net_4] clab-nebula-serf17 (10.0.4.10): 11.440ms (test duration: 70ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf7 (10.0.1.16) → [net_4] clab-nebula-serf17 (10.0.4.10): 11.177ms (test duration: 64ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf8 (10.0.1.17) → [net_4] clab-nebula-serf17 (10.0.4.10): 12.682ms (test duration: 60ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf9 (10.0.1.18) → [net_4] clab-nebula-serf17 (10.0.4.10): 9.192ms (test duration: 70ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf10 (10.0.1.19) → [net_4] clab-nebula-serf17 (10.0.4.10): 8.770ms (test duration: 68ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf11 (10.0.1.20) → [net_4] clab-nebula-serf17 (10.0.4.10): 7.711ms (test duration: 67ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf12 (10.0.1.21) → [net_4] clab-nebula-serf17 (10.0.4.10): 7.741ms (test duration: 78ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf13 (10.0.1.22) → [net_4] clab-nebula-serf17 (10.0.4.10): 6.373ms (test duration: 66ms)
2025/06/28 12:05:30 [net_1] clab-nebula-serf14 (10.0.1.23) → [net_4] clab-nebula-serf17 (10.0.4.10): 7.257ms (test duration: 66ms)
=== Inter-network pings net_1 → net_5 ===
