node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf150,40,54,0,0,54,0,0.0,0.0,2
clab-nebula-serf155,40,56,0,0,56,0,0.0,0.0,2
clab-nebula-serf160,40,58,5,0,53,1.0,0.08620689655172414,0.08620689655172414,2
clab-nebula-serf1,45,117,39,0,78,1.0,0.3333333333333333,0.3333333333333333,2
clab-nebula-serf5,45,108,22,0,86,1.0,0.2037037037037037,0.2037037037037037,2
clab-nebula-serf10,45,121,39,0,82,1.0,0.32231404958677684,0.32231404958677684,2
clab-nebula-serf15,45,124,64,0,60,1.0,0.5161290322580645,0.5161290322580645,2
clab-nebula-serf20,45,118,29,0,89,1.0,0.2457627118644068,0.2457627118644068,2
clab-nebula-serf25,45,119,24,0,95,1.0,0.20168067226890757,0.20168067226890757,2
clab-nebula-serf30,45,124,52,0,72,1.0,0.41935483870967744,0.41935483870967744,2
clab-nebula-serf35,45,121,9,0,112,1.0,0.0743801652892562,0.0743801652892562,2
clab-nebula-serf40,45,122,9,0,113,1.0,0.07377049180327869,0.07377049180327869,2
clab-nebula-serf45,45,124,42,0,82,1.0,0.3387096774193548,0.3387096774193548,2
clab-nebula-serf50,45,125,42,0,83,1.0,0.336,0.336,2
clab-nebula-serf55,45,126,53,0,73,1.0,0.42063492063492064,0.42063492063492064,2
clab-nebula-serf60,45,143,65,0,78,1.0,0.45454545454545453,0.45454545454545453,2
clab-nebula-serf65,45,126,2,0,124,1.0,0.015873015873015872,0.015873015873015872,2
clab-nebula-serf70,45,147,55,0,92,1.0,0.3741496598639456,0.3741496598639456,2
clab-nebula-serf75,45,135,36,0,99,1.0,0.26666666666666666,0.26666666666666666,2
clab-nebula-serf80,45,152,49,0,103,1.0,0.3223684210526316,0.3223684210526316,2
clab-nebula-serf85,45,134,26,0,108,1.0,0.19402985074626866,0.19402985074626866,2
clab-nebula-serf90,45,137,43,0,94,1.0,0.31386861313868614,0.31386861313868614,2
clab-nebula-serf95,45,142,39,0,103,1.0,0.2746478873239437,0.2746478873239437,2
clab-nebula-serf100,45,150,18,0,132,1.0,0.12,0.12,2
clab-nebula-serf105,45,153,12,0,141,1.0,0.0784313725490196,0.0784313725490196,2
clab-nebula-serf110,45,143,0,0,143,0,0.0,0.0,2
clab-nebula-serf115,45,6,0,0,6,0,0.0,0.0,2
